	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000275982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213735	2	1	0	3	4	2	0	1	2	1	2	3	0	1	0	2	1	1	1	1	0	0	0	2	6	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3
ENSG00000187550	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
ENSG00000181101	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0
ENSG00000286454	2	2	0	5	2	2	1	0	0	0	0	0	0	0	0	3	3	6	2	7	5	0	0	2	10	3	2	1	0	6	1	1	1	2	2	0	1	1	2	1	0	2	0
ENSG00000258357	21	7	3	8	11	2	22	3	10	5	7	4	3	7	9	4	2	6	5	12	7	4	3	15	15	7	0	9	14	6	3	1	2	6	10	1	7	3	4	3	6	8	9
ENSG00000077312	86	12	27	48	40	23	101	28	34	7	44	28	9	81	64	36	36	75	25	36	60	93	18	72	74	11	23	123	113	124	22	10	33	24	38	8	33	28	76	35	18	25	50
ENSG00000284981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234397	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000206846	6	1	0	0	0	0	6	1	1	1	1	1	0	0	0	0	1	2	0	2	0	1	2	2	0	2	0	0	3	2	0	0	0	0	2	0	2	3	9	1	0	0	0
ENSG00000255403	2	0	0	5	3	0	1	2	0	1	0	3	0	0	0	0	4	6	5	1	2	0	0	0	2	4	0	0	0	6	0	0	1	0	0	0	1	0	1	0	0	0	0
ENSG00000132275	293	63	96	186	152	90	414	132	171	82	158	124	48	209	234	138	130	269	98	252	245	484	135	185	367	56	96	274	584	349	168	40	136	77	243	79	118	136	234	150	123	136	297
ENSG00000237628	2	0	2	2	1	0	5	4	8	0	3	1	0	0	2	2	0	1	1	3	3	5	0	1	5	1	1	3	3	4	2	0	2	0	2	0	1	1	6	2	0	2	2
ENSG00000204160	503	259	620	1096	790	439	1084	1015	317	123	349	732	438	2405	470	1185	587	348	683	1567	434	812	281	1641	800	808	518	359	1051	1091	298	248	202	659	830	328	244	1062	1581	1129	754	690	902
ENSG00000284716	1	0	0	1	1	2	2	1	0	0	2	0	0	0	0	1	1	1	2	2	1	1	0	0	3	0	0	1	0	1	0	0	0	0	2	0	1	0	1	0	3	0	0
ENSG00000221040	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000240905	0	0	0	2	2	1	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	2	4	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0
ENSG00000115310	1388	818	1915	1871	2197	1283	4472	1726	1079	608	1429	1802	695	4979	1746	1424	1089	1451	1997	2581	1334	3527	1215	2519	2055	947	1066	1175	2880	2083	963	546	546	1177	1912	806	533	1745	2409	928	869	1153	2580
ENSG00000224122	5	2	0	1	1	2	0	1	1	0	2	0	0	0	1	0	2	2	0	7	1	0	0	0	2	2	0	0	0	3	0	0	0	3	1	0	0	3	0	0	0	0	0
ENSG00000119669	89	30	136	133	73	36	122	76	42	17	52	63	65	152	71	118	83	54	86	164	77	71	34	182	114	51	39	122	125	167	21	21	23	35	99	25	43	84	108	101	48	53	110
ENSG00000248946	4	0	1	3	1	0	0	1	1	0	0	1	0	0	0	1	0	3	3	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0
ENSG00000257829	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
