	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000241539	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253099	0	0	0	6	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	2	0	2	0	0	1	1	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0
ENSG00000254342	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230661	4	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	1	4	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0
ENSG00000262495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0
ENSG00000066135	11	4	3	15	11	5	11	8	6	2	3	3	2	3	4	6	7	14	8	19	6	12	7	5	28	4	3	6	8	14	4	1	3	2	8	1	7	1	7	7	4	8	10
ENSG00000285581	5	3	0	0	1	0	1	1	0	0	1	1	0	0	2	5	0	1	1	0	0	2	0	1	2	0	0	0	0	0	1	0	1	0	1	0	0	2	0	1	0	1	0
ENSG00000251045	3	3	0	3	2	0	0	0	0	0	2	1	1	0	0	4	3	3	2	2	3	3	0	0	11	1	2	0	0	0	0	2	3	0	1	0	2	1	0	1	0	1	0
ENSG00000241213	2	0	0	6	1	2	1	0	1	1	1	3	0	0	0	1	6	5	3	3	3	0	3	1	2	4	0	2	0	6	1	0	0	0	4	0	1	0	3	0	0	1	0
ENSG00000152078	7	6	0	12	12	1	5	12	10	1	1	12	2	4	3	10	5	19	9	78	15	1	1	7	34	16	4	4	1	15	5	1	10	0	8	6	6	4	8	6	2	10	5
ENSG00000288614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283631	0	0	0	3	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	1	0	1	0	1	0	1	0	1	0
