	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_0800100	21	42	31	0	1	8	4	6	17	10	2	6	2	9	1	1	30	28	3	0	0	3	16	0	9	9	2	3	6	0	5	3	17	3	4	7	27	3	3	0	6	0	2
PF3D7_1416400	6	14	5	2	0	7	0	10	4	4	0	2	5	1	0	1	7	3	1	0	0	1	1	6	1	1	0	0	0	1	0	0	1	1	0	0	2	1	1	0	3	1	2
PF3D7_0516200	172	416	59	77	37	43	32	102	109	79	20	89	27	91	8	4	131	75	38	20	20	52	133	37	53	11	112	31	55	22	87	7	108	28	16	11	321	83	16	25	311	31	95
PF3D7_1029600	355	460	92	73	55	103	31	246	193	153	16	61	52	220	7	3	291	155	100	12	17	53	411	77	39	21	143	11	35	70	109	8	74	69	35	14	237	97	45	26	492	76	150
PF3D7_0517100	48	350	43	22	14	24	3	43	20	55	1	4	10	46	6	5	46	48	57	2	4	12	53	27	6	16	22	10	39	6	20	2	33	29	12	3	91	37	16	2	36	14	48
PF3D7_1125200	60	119	26	12	6	0	8	9	22	17	4	26	5	19	4	4	23	14	6	1	4	14	27	2	29	2	6	16	27	2	18	1	36	2	6	8	127	19	3	3	30	2	11
PF3D7_1114800	52	217	38	21	11	6	9	22	31	17	8	13	17	72	6	4	41	93	62	5	2	12	64	12	3	8	11	9	19	9	15	3	7	18	6	5	35	35	20	1	39	9	33
PF3D7_0520800	44	107	31	17	7	8	3	16	18	29	2	24	2	16	0	1	56	37	20	3	9	6	26	8	20	6	9	19	51	10	71	4	40	4	11	4	159	8	15	3	24	12	3
PF3D7_0805600	393	414	95	74	83	399	17	203	135	105	9	72	112	189	17	36	256	279	98	18	41	46	330	137	72	56	200	18	41	55	88	13	92	44	53	23	252	108	14	18	549	114	121
PF3D7_1320900	2	1	2	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0
